date,regime_zone,signal_score
2023-02-21,EUPHORIA,10.5504
2023-02-22,RISK-OFF,-37.8066
2023-02-23,RISK-OFF,-17.1268
2023-02-24,RISK-OFF,-115.2813
2023-02-27,RISK-OFF,-47.1714
2023-02-28,RISK-OFF,-55.8069
2023-03-01,RISK-ON,4.2811
2023-03-02,RISK-OFF,-30.0214
2023-03-03,RISK-OFF,-48.7579
2023-03-06,EUPHORIA,148.2483
2023-03-07,RISK-OFF,-31.3548
2023-03-08,EUPHORIA,101.7806
2023-03-09,RISK-OFF,-16.7681
2023-03-10,RISK-OFF,-55.6521
2023-03-13,RISK-OFF,-126.9533
2023-03-14,EUPHORIA,15.5664
2023-03-15,RISK-ON,6.6532
2023-03-16,EUPHORIA,34.6873
2023-03-17,CAUTION,-7.582
2023-03-20,EUPHORIA,16.0001
2023-03-21,RISK-OFF,-18.9354
2023-03-22,EUPHORIA,11.4821
2023-03-23,RISK-OFF,-67.6109
2023-03-24,EUPHORIA,27.7613
2023-03-27,EUPHORIA,72.597
2023-03-28,EUPHORIA,86.5273
2023-03-29,EUPHORIA,25.8273
2023-03-30,EUPHORIA,84.2418
2023-03-31,RISK-OFF,-61.7851
2023-04-03,EUPHORIA,19.1055
2023-04-04,NEUTRAL,0.9908
2023-04-05,RISK-OFF,-33.283
2023-04-06,EUPHORIA,35.4943
2023-04-10,RISK-OFF,-30.2994
2023-04-11,EUPHORIA,115.3164
2023-04-12,EUPHORIA,96.8166
2023-04-13,EUPHORIA,19.9543
2023-04-14,RISK-OFF,-26.6202
2023-04-17,RISK-OFF,-63.0015
2023-04-18,RISK-OFF,-45.8125
2023-04-19,RISK-OFF,-75.1903
2023-04-20,EUPHORIA,18.0541
2023-04-21,RISK-OFF,-23.1124
2023-04-24,RISK-ON,6.3255
2023-04-25,RISK-OFF,-16.8277
2023-04-26,EUPHORIA,13.8034
2023-04-27,EUPHORIA,40.3546
2023-04-28,EUPHORIA,9.5538
2023-05-01,EUPHORIA,8.1641
2023-05-02,RISK-OFF,-43.4803
2023-05-03,EUPHORIA,46.6051
2023-05-04,EUPHORIA,25.4641
2023-05-05,EUPHORIA,104.8498
2023-05-08,RISK-OFF,-56.5361
2023-05-09,EUPHORIA,22.7648
2023-05-10,EUPHORIA,59.5673
2023-05-11,EUPHORIA,35.3892
2023-05-12,RISK-OFF,-8.0798
2023-05-15,CAUTION,-5.6769
2023-05-16,RISK-OFF,-38.8623
2023-05-17,EUPHORIA,35.1058
2023-05-18,RISK-OFF,-70.3424
2023-05-19,CAUTION,-6.2881
2023-05-22,EUPHORIA,52.6251
2023-05-23,EUPHORIA,10.6294
2023-05-24,RISK-OFF,-34.3429
2023-05-25,EUPHORIA,22.9658
2023-05-26,EUPHORIA,53.0038
2023-05-30,RISK-OFF,-33.8834
2023-05-31,RISK-OFF,-16.6201
2023-06-01,EUPHORIA,114.382
2023-06-02,EUPHORIA,78.9192
2023-06-05,RISK-OFF,-13.3361
2023-06-06,EUPHORIA,49.663
2023-06-07,NEUTRAL,-2.4435
2023-06-08,NEUTRAL,3.5999
2023-06-09,EUPHORIA,75.1319
2023-06-12,EUPHORIA,10.1318
2023-06-13,RISK-OFF,-30.5456
2023-06-14,EUPHORIA,66.1667
2023-06-15,RISK-OFF,-52.914
2023-06-16,RISK-OFF,-51.7919
2023-06-20,EUPHORIA,84.8023
2023-06-21,EUPHORIA,8.1291
2023-06-22,RISK-OFF,-31.1262
2023-06-23,RISK-OFF,-52.4515
2023-06-26,RISK-OFF,-26.0179
2023-06-27,CAUTION,-3.9187
2023-06-28,NEUTRAL,-2.5241
2023-06-29,EUPHORIA,30.8041
2023-06-30,RISK-OFF,-9.7594
2023-07-03,EUPHORIA,51.8073
2023-07-05,RISK-OFF,-28.1484
2023-07-06,RISK-OFF,-77.6047
2023-07-07,EUPHORIA,81.4494
2023-07-10,RISK-OFF,-59.6762
2023-07-11,RISK-OFF,-17.8532
2023-07-12,EUPHORIA,38.4089
2023-07-13,EUPHORIA,76.3123
2023-07-14,RISK-OFF,-32.956
2023-07-17,EUPHORIA,10.7188
2023-07-18,RISK-OFF,-39.623
2023-07-19,RISK-ON,4.2165
2023-07-20,RISK-OFF,-23.01
2023-07-21,EUPHORIA,60.5778
2023-07-24,EUPHORIA,62.072
2023-07-25,CAUTION,-5.5297
2023-07-26,EUPHORIA,33.5154
2023-07-27,RISK-OFF,-45.7582
2023-07-28,EUPHORIA,12.3899
2023-07-31,EUPHORIA,31.0467
2023-08-01,RISK-OFF,-24.4494
2023-08-02,EUPHORIA,16.5471
2023-08-03,RISK-OFF,-79.2625
2023-08-04,RISK-OFF,-27.6136
2023-08-07,RISK-OFF,-49.2372
2023-08-08,RISK-OFF,-20.0009
2023-08-09,RISK-OFF,-69.0433
2023-08-10,EUPHORIA,62.7716
2023-08-11,RISK-OFF,-19.349
2023-08-14,RISK-OFF,-56.0928
2023-08-15,EUPHORIA,9.9262
2023-08-16,EUPHORIA,11.9045
2023-08-17,RISK-OFF,-29.8795
2023-08-18,EUPHORIA,33.4805
2023-08-21,RISK-OFF,-39.4564
2023-08-22,EUPHORIA,79.5942
2023-08-23,EUPHORIA,98.5947
2023-08-24,RISK-OFF,-42.4049
2023-08-25,RISK-OFF,-38.9996
2023-08-28,EUPHORIA,34.4997
2023-08-29,EUPHORIA,30.6195
2023-08-30,RISK-OFF,-64.7434
2023-08-31,RISK-OFF,-69.9564
