date,snap_t,ticker,sector,side,entry_px,vwap_dev_z,hour_balance_dev_z,range_pctile,atr_14,exit_px,exit_reason,pnl_pct_gross,pnl_pct_net_s1
2023-02-23,10:00:00,BAJFINANCE,NBFC_HFC,SHORT,6198.0000,2.8710,2.0205,53.28,14.3530,6223.1177,STOP,-0.004053,-0.007053
2023-02-23,10:00:00,KOTAKBANK,Banks,SHORT,1708.5000,2.2013,1.9580,57.55,5.5287,1705.2500,TIME_STOP,0.001902,-0.001098
2023-02-24,11:45:00,SHRIRAMFIN,NBFC_HFC,LONG,1202.5500,-1.8911,-1.3941,13.79,5.5412,1219.1000,TIME_STOP,0.013762,0.010762
2023-03-02,11:30:00,MCX,Capital_Markets,SHORT,1409.7000,2.5903,1.5557,78.14,6.8780,1416.2000,TIME_STOP,-0.004611,-0.007611
2023-03-02,10:15:00,BAJFINANCE,NBFC_HFC,LONG,6093.1499,-2.2318,-4.9812,74.39,11.9650,6072.2111,STOP,-0.003436,-0.006436
2023-03-02,11:00:00,KOTAKBANK,Banks,SHORT,1743.9000,1.7609,1.8937,42.11,5.2674,1729.1500,TIME_STOP,0.008458,0.005458
2023-03-02,10:00:00,CANBK,Banks,SHORT,291.5500,1.8571,1.6979,66.80,1.4724,290.9500,TIME_STOP,0.002058,-0.000942
2023-03-02,11:15:00,DRREDDY,Pharma,SHORT,4366.9502,1.8393,1.3262,39.43,14.1195,4391.6593,STOP,-0.005658,-0.008658
2023-03-03,11:15:00,BAJFINANCE,NBFC_HFC,SHORT,6132.8501,2.4904,2.8774,8.13,12.1898,6120.5000,TIME_STOP,0.002014,-0.000986
2023-03-03,10:45:00,KOTAKBANK,Banks,SHORT,1742.8000,2.0098,2.1409,65.32,5.4767,1752.3843,STOP,-0.005499,-0.008499
2023-03-03,10:45:00,CANBK,Banks,SHORT,302.0000,2.2974,2.4552,79.84,1.4459,304.5303,STOP,-0.008379,-0.011379
2023-03-08,10:00:00,BAJFINANCE,NBFC_HFC,LONG,6016.9502,-3.2888,-4.1441,65.32,10.8709,5997.9261,STOP,-0.003162,-0.006162
2023-03-09,10:00:00,BAJFINANCE,NBFC_HFC,LONG,5970.0000,-2.8697,-2.8070,41.77,11.2307,5950.3463,STOP,-0.003292,-0.006292
2023-03-09,10:15:00,SHRIRAMFIN,NBFC_HFC,SHORT,1304.0000,2.1890,2.3548,72.73,5.9134,1314.3485,STOP,-0.007936,-0.010936
2023-03-10,10:15:00,BAJFINANCE,NBFC_HFC,SHORT,5855.0000,2.7109,2.6368,42.80,11.5483,5875.2095,STOP,-0.003452,-0.006452
2023-03-13,11:00:00,MCX,Capital_Markets,LONG,1460.0000,-2.1136,-1.7042,61.90,6.8506,1476.0000,TIME_STOP,0.010959,0.007959
2023-03-13,11:00:00,BAJFINANCE,NBFC_HFC,LONG,5890.0000,-2.1044,-2.7702,39.44,11.6327,5869.6428,STOP,-0.003456,-0.006456
2023-03-13,12:15:00,KOTAKBANK,Banks,LONG,1695.0000,-2.3226,-1.2668,62.45,5.7822,1684.8811,STOP,-0.005970,-0.008970
2023-03-14,10:15:00,BAJFINANCE,NBFC_HFC,LONG,5738.5498,-2.7932,-4.4108,76.98,11.8855,5717.7501,STOP,-0.003625,-0.006625
2023-03-14,10:30:00,SHRIRAMFIN,NBFC_HFC,LONG,1230.9500,-1.9663,-1.9091,69.44,6.1417,1234.2500,TIME_STOP,0.002681,-0.000319
2023-03-14,10:30:00,CANBK,Banks,LONG,283.2500,-1.8315,-1.8456,67.19,1.6932,286.3500,TIME_STOP,0.010944,0.007944
2023-03-14,13:00:00,DRREDDY,Pharma,LONG,4325.6001,-2.6823,-1.2688,82.68,14.3835,4349.9502,TIME_STOP,0.005629,0.002629
2023-03-14,10:00:00,NAUKRI,IT_Services,LONG,3360.6001,-1.8536,-3.0106,68.77,15.1713,3334.0503,STOP,-0.007900,-0.010900
2023-03-15,10:00:00,COFORGE,IT_Services,LONG,3892.0500,-2.2227,-3.3045,84.25,20.8960,3855.4821,STOP,-0.009396,-0.012396
2023-03-15,13:00:00,NAUKRI,IT_Services,LONG,3352.9500,-2.5921,-1.3884,45.88,15.6659,3375.8501,TIME_STOP,0.006830,0.003830
2023-03-16,11:00:00,BAJFINANCE,NBFC_HFC,SHORT,5742.1001,3.2864,2.9743,44.88,11.9021,5747.0498,TIME_STOP,-0.000862,-0.003862
2023-03-16,12:15:00,KOTAKBANK,Banks,LONG,1653.1000,-2.4211,-2.2198,63.28,6.3633,1664.5000,TIME_STOP,0.006896,0.003896
2023-03-16,11:00:00,CANBK,Banks,SHORT,284.0000,2.7252,2.4104,83.92,1.7010,284.2000,TIME_STOP,-0.000704,-0.003704
2023-03-17,11:15:00,BAJFINANCE,NBFC_HFC,LONG,5741.0000,-2.6241,-2.5883,52.76,11.5518,5720.7843,STOP,-0.003521,-0.006521
2023-03-17,10:45:00,CANBK,Banks,LONG,279.0500,-1.7628,-1.8142,69.14,1.7501,281.8500,TIME_STOP,0.010034,0.007034
2023-03-20,11:45:00,MCX,Capital_Markets,SHORT,1486.0000,2.2502,1.6199,47.08,6.6671,1482.7000,TIME_STOP,0.002221,-0.000779
2023-03-20,10:00:00,BAJFINANCE,NBFC_HFC,LONG,5639.1001,-1.8479,-3.8095,76.95,11.8518,5618.3595,STOP,-0.003678,-0.006678
2023-03-20,10:30:00,SHRIRAMFIN,NBFC_HFC,LONG,1229.7500,-1.8107,-1.7568,87.50,6.3754,1218.5930,STOP,-0.009073,-0.012073
2023-03-20,12:00:00,DRREDDY,Pharma,LONG,4438.0000,-1.7679,-1.4885,41.09,15.7368,4432.9502,TIME_STOP,-0.001138,-0.004138
2023-03-20,10:00:00,NAUKRI,IT_Services,LONG,3403.3501,-2.4351,-3.1953,85.99,15.6715,3429.8000,TIME_STOP,0.007772,0.004772
2023-03-27,11:00:00,BAJFINANCE,NBFC_HFC,LONG,5638.8501,-2.5266,-1.6161,49.81,14.1391,5614.1066,STOP,-0.004388,-0.007388
2023-03-28,13:30:00,BAJFINANCE,NBFC_HFC,LONG,5555.0000,-1.9597,-1.2738,13.13,14.5436,5529.5487,STOP,-0.004582,-0.007582
2023-03-29,13:00:00,MCX,Capital_Markets,LONG,1487.1500,-2.1306,-2.2976,80.84,6.2348,1494.0000,TIME_STOP,0.004606,0.001606
2023-03-29,10:30:00,BAJFINANCE,NBFC_HFC,SHORT,5634.8999,2.9490,3.0940,41.70,14.2049,5600.0000,TIME_STOP,0.006194,0.003194
2023-03-29,12:15:00,COFORGE,IT_Services,SHORT,3666.8000,1.9578,1.4523,68.20,23.2742,3636.8000,TIME_STOP,0.008182,0.005182
2023-03-31,11:30:00,DRREDDY,Pharma,SHORT,4642.1001,2.5685,1.8372,72.41,13.7163,4630.2998,TIME_STOP,0.002542,-0.000458
2023-04-03,10:00:00,DRREDDY,Pharma,LONG,4635.5000,-2.0720,-1.2788,57.63,14.0754,4610.8680,STOP,-0.005314,-0.008314
2023-04-10,12:45:00,MCX,Capital_Markets,SHORT,1511.8000,1.8849,2.0525,28.41,6.7599,1523.6299,STOP,-0.007825,-0.010825
2023-04-10,10:15:00,BAJFINANCE,NBFC_HFC,LONG,5842.0000,-2.5795,-4.4632,85.50,15.3479,5815.1412,STOP,-0.004598,-0.007598
2023-04-11,11:30:00,MCX,Capital_Markets,LONG,1486.8000,-2.1770,-1.7210,67.80,7.0018,1474.5470,STOP,-0.008241,-0.011241
2023-04-11,10:45:00,BAJFINANCE,NBFC_HFC,LONG,5819.6001,-2.0604,-1.6927,21.67,15.8325,5839.5000,TIME_STOP,0.003419,0.000419
2023-04-11,10:45:00,SHRIRAMFIN,NBFC_HFC,LONG,1288.4000,-1.9152,-1.4608,48.94,6.6233,1289.0000,TIME_STOP,0.000466,-0.002534
2023-04-11,11:00:00,DRREDDY,Pharma,LONG,4746.7002,-2.1460,-1.7166,44.70,13.1072,4723.7627,STOP,-0.004832,-0.007832
2023-04-12,10:45:00,MCX,Capital_Markets,SHORT,1489.4000,1.9190,1.2819,75.85,7.5866,1502.6767,STOP,-0.008914,-0.011914
2023-04-13,12:15:00,MCX,Capital_Markets,LONG,1466.2000,-2.2908,-1.4765,49.44,7.8397,1465.0500,TIME_STOP,-0.000784,-0.003784
2023-04-13,13:30:00,BAJFINANCE,NBFC_HFC,SHORT,5921.2002,2.5891,1.6604,14.29,14.2584,5915.0000,TIME_STOP,0.001047,-0.001953
2023-04-13,14:00:00,KOTAKBANK,Banks,SHORT,1862.9000,3.4417,2.8247,55.26,5.7174,1864.0000,TIME_STOP,-0.000590,-0.003590
2023-04-13,10:45:00,COFORGE,IT_Services,LONG,4032.6499,-2.4768,-2.9245,72.18,22.6532,3993.0069,STOP,-0.009831,-0.012831
2023-04-13,14:00:00,CANBK,Banks,SHORT,290.3500,2.0178,1.3378,26.69,1.2147,290.4000,TIME_STOP,-0.000172,-0.003172
2023-04-17,11:30:00,SHRIRAMFIN,NBFC_HFC,LONG,1307.1000,-2.0058,-1.4400,70.00,5.2778,1321.6500,TIME_STOP,0.011132,0.008132
2023-04-17,10:30:00,KOTAKBANK,Banks,SHORT,1891.0000,2.2540,1.2975,53.56,6.0500,1901.5874,STOP,-0.005599,-0.008599
2023-04-17,11:30:00,CANBK,Banks,SHORT,294.3000,2.5487,2.4835,52.06,1.1979,296.3964,STOP,-0.007123,-0.010123
2023-04-17,14:00:00,NAUKRI,IT_Services,SHORT,3685.0000,1.7593,1.7795,89.18,17.6738,3681.7000,TIME_STOP,0.000896,-0.002104
2023-04-18,10:15:00,BAJFINANCE,NBFC_HFC,LONG,5915.9502,-2.1187,-2.8948,42.70,13.3686,5892.5551,STOP,-0.003955,-0.006955
2023-04-18,13:45:00,CANBK,Banks,LONG,295.0500,-2.5882,-2.1562,23.79,1.2638,299.2500,TIME_STOP,0.014235,0.011235
2023-04-19,10:15:00,BAJFINANCE,NBFC_HFC,SHORT,5936.9502,1.7905,2.0949,24.63,13.3422,5912.7500,TIME_STOP,0.004076,0.001076
2023-04-19,14:00:00,CANBK,Banks,LONG,294.1000,-2.7095,-1.2756,50.19,1.2347,295.4500,TIME_STOP,0.004590,0.001590
2023-04-19,13:30:00,NAUKRI,IT_Services,LONG,3616.0000,-2.0750,-1.5199,47.04,19.5732,3621.8000,TIME_STOP,0.001604,-0.001396
