symbol,event_date,horizon,regime,direction_proxy,trust_tier,entry_S,exit_S,call_entry_premium,call_exit,put_entry_premium,put_exit,straddle_entry_premium,straddle_exit,pnl_futures_bps,pnl_long_call_bps,pnl_long_put_bps,pnl_long_straddle_bps,call_premium_pct_S,put_premium_pct_S
BANDHANBNK,2022-01-21,10,NEUTRAL,BEAT_LIKE,LOW,293.04,312.04,10.12,21.11,8.34,1.13,18.46,22.23,648.44,10850.09,-8646.75,2044.5,3.454,2.845
BANDHANBNK,2022-01-21,21,NEUTRAL,BEAT_LIKE,LOW,293.04,306.76,10.12,13.73,8.34,0.0,18.46,13.73,468.41,3560.33,-10000.0,-2564.08,3.454,2.845
BANDHANBNK,2022-05-13,1,NEUTRAL,BEAT_LIKE,LOW,297.14,310.14,11.23,19.28,9.42,4.56,20.66,23.84,437.29,7162.35,-5162.6,1539.91,3.781,3.172
BANDHANBNK,2022-05-13,3,NEUTRAL,BEAT_LIKE,LOW,297.14,333.68,11.23,38.85,9.42,0.75,20.66,39.61,1229.66,24585.99,-9201.67,9172.62,3.781,3.172
BANDHANBNK,2022-05-13,5,NEUTRAL,BEAT_LIKE,LOW,297.14,307.16,11.23,16.03,9.42,4.61,20.66,20.64,337.0,4265.13,-5105.95,-9.8,3.781,3.172
BANDHANBNK,2022-05-13,10,NEUTRAL,BEAT_LIKE,LOW,297.14,309.06,11.23,15.87,9.42,2.97,20.66,18.84,401.12,4129.28,-6853.28,-880.78,3.781,3.172
BANDHANBNK,2022-05-13,21,NEUTRAL,BEAT_LIKE,LOW,297.14,316.14,11.23,19.0,9.42,0.0,20.66,19.0,639.49,6914.28,-10000.0,-801.74,3.781,3.172
BANDHANBNK,2022-07-22,1,RISK-ON,BEAT_LIKE,LOW,276.72,279.41,11.59,12.82,9.91,8.52,21.5,21.35,97.09,1060.23,-1394.32,-70.8,4.189,3.58
BANDHANBNK,2022-07-22,3,RISK-ON,BEAT_LIKE,LOW,276.72,264.46,11.59,5.29,9.91,16.09,21.5,21.38,-443.07,-5439.23,6243.59,-55.92,4.189,3.58
BANDHANBNK,2022-07-22,5,RISK-ON,BEAT_LIKE,LOW,276.72,274.04,11.59,8.72,9.91,10.1,21.5,18.82,-97.09,-2480.51,195.31,-1247.52,4.189,3.58
BANDHANBNK,2022-07-22,10,RISK-ON,BEAT_LIKE,LOW,276.72,272.38,11.59,6.28,9.91,9.7,21.5,15.98,-157.11,-4584.11,-203.28,-2565.47,4.189,3.58
BANDHANBNK,2022-07-22,21,RISK-ON,BEAT_LIKE,LOW,276.72,273.65,11.59,0.0,9.91,3.08,21.5,3.08,-111.21,-10000.0,-6893.43,-8568.53,4.189,3.58
BANDHANBNK,2022-10-28,1,EUPHORIA,MISS_LIKE,LOW,264.46,259.24,9.44,6.61,7.82,10.3,17.26,16.91,-197.64,-2993.19,3163.94,-202.02,3.568,2.959
BANDHANBNK,2022-10-28,3,EUPHORIA,MISS_LIKE,LOW,264.46,230.51,9.44,0.31,7.82,32.87,17.26,33.18,-1283.71,-9668.7,32010.34,9225.4,3.568,2.959
BANDHANBNK,2022-10-28,5,EUPHORIA,MISS_LIKE,LOW,264.46,228.27,9.44,0.16,7.82,35.11,17.26,35.27,-1368.67,-9832.82,34871.1,10432.53,3.568,2.959
BANDHANBNK,2022-10-28,10,EUPHORIA,MISS_LIKE,LOW,264.46,221.13,9.44,0.01,7.82,42.46,17.26,42.46,-1638.34,-9991.77,44262.01,14602.76,3.568,2.959
BANDHANBNK,2022-10-28,21,EUPHORIA,MISS_LIKE,LOW,264.46,219.18,9.44,0.0,7.82,45.28,17.26,45.28,-1712.23,-10000.0,47874.17,16235.74,3.568,2.959
