event_symbol,event_date,sector,event_direction,event_regime,peer_symbol,peer_ret_h1_bps,peer_ret_h3_bps,peer_ret_h5_bps
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,IDFCFIRSTB,144.84957914393473,449.88387860010357,630.6441531499099
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,INDIANB,59.28114851533523,1093.6584839402533,1288.2861975619037
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,INDUSINDBK,380.33916541499536,596.2552458717006,801.6461803011312
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,KOTAKBANK,128.8831501600124,361.51148251215915,276.8676891352967
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,PNB,361.79603305029485,723.2060370919327,832.7638398915967
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,RBLBANK,443.72945634561864,687.2671234715762,875.2565381485975
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,SBIN,406.47947570289574,576.0249135931531,743.6813240818353
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,UNIONBANK,117.9273641826958,1099.7621009200673,992.9230835714279
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,YESBANK,110.90728924433276,-74.62678446047717,-74.62678446047717
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,AUBANK,-131.14487284276893,-594.9578192208388,-675.1548612922037
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,BANDHANBNK,-58.14477275113962,-317.1506136614243,-535.883503880404
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,BANKBARODA,-244.98110337256844,-674.814584851328,-975.16592823305
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,BANKINDIA,-93.02346763276549,-430.9647663751143,-549.8203502870597
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,CANBK,-153.40015474319952,-451.7315037429586,-612.2783202465403
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,CUB,-202.17112614523484,-569.9020426509178,-1058.370815898436
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,FEDERALBNK,-170.41496386610913,-333.1914896220179,-694.3190703606845
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,HDFCBANK,96.15614954742091,-112.5654505729728,-399.8381280269969
